Date,Open,High,Low,Close,Volume,Ticker,
19921014,1454.59998,1454.59998,1454.59998,1454.59998,203700000,XJO,
19921015,1440.30005,1440.30005,1440.30005,1440.30005,333100000,XJO,
19921016,1420.40002,1420.40002,1420.40002,1420.40002,837800000,XJO,
19921019,1417.80005,1417.80005,1417.80005,1417.80005,407300000,XJO,
19921020,1428.69995,1428.69995,1428.69995,1428.69995,403700000,XJO,
19921021,1447.5,1447.5,1447.5,1447.5,489400000,XJO,
19921022,1451.59998,1451.59998,1451.59998,1451.59998,679699968,XJO,
19921023,1459.30005,1459.30005,1459.30005,1459.30005,902600000,XJO,
19921026,1453.69995,1453.69995,1453.69995,1453.69995,149100000,XJO,
19921027,1439,1439,1439,1439,477500000,XJO,
19921028,1419.19995,1419.19995,1419.19995,1419.19995,527600000,XJO,
19921029,1418.80005,1418.80005,1418.80005,1418.80005,345500000,XJO,
19921030,1428.80005,1428.80005,1428.80005,1428.80005,370800000,XJO,
19921102,1412.69995,1412.69995,1412.69995,1412.69995,243100000,XJO,
19921103,1416,1416,1416,1416,84100000,XJO,
19921104,1436.09998,1436.09998,1436.09998,1436.09998,63900000,XJO,
19921105,1437.59998,1437.59998,1437.59998,1437.59998,435100000,XJO,
19921106,1427.30005,1427.30005,1427.30005,1427.30005,142000000,XJO,
19921109,1422.90002,1422.90002,1422.90002,1422.90002,178600000,XJO,
19921110,1399.30005,1399.30005,1399.30005,1399.30005,556200000,XJO,
19921111,1396.69995,1396.69995,1396.69995,1396.69995,1063600000,XJO,
19921112,1376.09998,1376.09998,1376.09998,1376.09998,709100032,XJO,
19921113,1373.69995,1373.69995,1373.69995,1373.69995,458600000,XJO,
19921116,1358.5,1358.5,1358.5,1358.5,435200000,XJO,
19921117,1367,1367,1367,1367,291000000,XJO,
19921118,1377.69995,1377.69995,1377.69995,1377.69995,257100000,XJO,
19921119,1396.59998,1396.59998,1396.59998,1396.59998,393700000,XJO,
19921120,1415,1415,1415,1415,715100032,XJO,
19921123,1455,1455,1455,1455,614200000,XJO,
19921124,1458.40002,1458.40002,1458.40002,1458.40002,348100000,XJO,
19921125,1467.90002,1467.90002,1467.90002,1467.90002,308700000,XJO,
19921126,1459,1459,1459,1459,255700000,XJO,
19921127,1458.90002,1458.90002,1458.90002,1458.90002,1458400000,XJO,
19921130,1456.40002,1456.40002,1456.40002,1456.40002,361900000,XJO,
19921201,1452.30005,1452.30005,1452.30005,1452.30005,257700000,XJO,
19921202,1446.80005,1446.80005,1446.80005,1446.80005,213100000,XJO,
