Rank,Ticker,Company,Mkt Cap
232,MFF,MFF Capital Investments Ltd,1692681009.00
233,IVC,Invocare Ltd,1679748147.00
234,RRL,Regis Resources Ltd,1675604292.00
235,VUL,Vulcan Energy Resources Ltd,1658145468.00
236,TLX,TELIX Pharmaceuticals Ltd,1647721408.00
237,BGA,Bega Cheese Ltd,1633089522.00
238,MAQ,Macquarie Telecom Group Ltd,1612295775.00
239,SLK,Sealink Travel Group Ltd,1611784974.00
240,ERA,Energy Resources of Australia Ltd,1568837859.00
241,TPW,Temple & Webster Group Ltd,1557456359.00
242,RBD,Restaurant Brands New Zealand Ltd,1549500856.00
243,ARF,Arena REIT,1525021683.00
244,WLE,Wam Leaders Ltd,1524476750.00
245,MXT,Metrics Master Income Trust,1515997454.00
246,CKF,Collins Foods Ltd,1513548547.00
247,HTA,Hutchison Telecommunications (Australia) Ltd,1492975943.00
248,360,LIFE360 Inc,1477661829.00
249,COF,Centuria Office REIT,1451606901.00
250,MGH,Maas Group Holdings Ltd,1444302208.00
251,SLR,Silver Lake Resources Ltd,1443080580.00
252,CCX,City Chic Collective Ltd,1435585332.00
253,DEG,De Grey Mining Ltd  ,1428297763.00
254,JLG,Johns LYNG Group Ltd,1427188846.00
255,ASM,Australian Strategic Materials Ltd,1422961261.00
256,CGC,Costa Group Holdings Ltd,1420998580.00
257,ING,Inghams Group Ltd,1419816076.00
258,GNC,Graincorp Ltd,1416616337.00
259,HBRD,Betashares Active Australian Hybrids Fund (Managed Fund),1415280008.00
260,VAF,Vanguard Australian Fixed Interest INDEX ETF,1403475320.00
261,VDHG,Vanguard Diversified High Growth INDEX ETF,1400218404.00
262,CQE,Charter Hall Social Infrastructure REIT,1378468904.00
263,AEF,Australian Ethical Investment Ltd,1376742441.00
264,AX1,Accent Group Ltd,1360085455.00
265,APX,Appen Ltd,1342747334.00
266,HGH,Heartland Group Holdings Ltd,1338924272.00
267,PSI,PSC Insurance Group Ltd,1329918387.00
268,INR,Ioneer Ltd,1313895862.00
269,MAF,Ma Financial Group Ltd,1313353501.00
270,HSN,Hansen Technologies Ltd,1305377434.00
271,CTT,Cettire Ltd,1300022330.00
272,RMS,Ramelius Resources Ltd,1259298512.00
273,GOLD,ETFs Metal Securities Australia Ltd,1256947986.00
274,AUI,Australian United Investment Company Ltd,1248687670.00
275,SIQ,Smartgroup Corporation Ltd,1247282084.00
276,FCL,Fineos Corporation Holdings Plc  ,1243837772.00
277,29M,29METALS Ltd,1239573900.00
278,FAIR,Betashares Australian Sustainability Leaders ETF,1222319290.00
279,PNV,Polynovo Ltd,1220260941.00
280,NWS,News Corporation,1212187370.00
281,BKI,BKI Investment Company Ltd,1200024705.00
282,UMG,United Malt Group Ltd,1193724749.00
283,HDN,Homeco Daily Needs REIT,1189948980.00
284,EML,EML Payments Ltd,1183562612.00
285,NCK,Nick Scali Ltd,1183410000.00
286,ISX,Isignthis Ltd,1177847566.00
287,SZL,Sezzle Inc,1174814751.00
288,RBL,Redbubble Ltd,1172660948.00
289,GOR,Gold Road Resources Ltd,1163323575.00
290,PPK,PPK Group Ltd,1149153201.00
291,PEB,Pacific Edge Ltd,1124137431.00
292,LEP,Ale Property Group,1122558164.00
293,DBI,Dalrymple Bay Infrastructure Ltd,1115558892.00
294,DUI,Diversified United Investment Ltd,1113637546.00
295,KMD,Kathmandu Holdings Ltd,1102497152.00
296,ABB,Aussie Broadband Ltd  ,1101253199.00
297,OML,Ooh!Media Ltd,1089535489.00
298,MMS,Mcmillan Shakespeare Ltd,1084109309.00
299,PPM,Pepper Money Ltd,1067999356.00
300,PGH,Pact Group Holdings Ltd,1056970463.00
